ACC,Population,,Primary,Population,,Secondary,Population,,Secondary without primary counties,
Athens-Clarke,127064,,Athens-Clarke,127064,,Athens-Clarke,127064,,Banks,18634
TOTAL,124707,,Barrow,79061,,Banks,18634,,Elbert,19109
,,,Jackson,67519,,Barrow,79061,,Franklin,22820
,,,Madison,29302,,Elbert,19109,,Greene,17281
,,,Oconee,39028,,Franklin,22820,,Hancock,8561
,,,Oglethorpe,38028,,Greene,17281,,Hart,25794
,,,Walton,91600,,Hancock,8561,,Morgan,18412
,,,TOTAL,471602,,Hart,25794,,Putnam,21730
,,,,,,Jackson,67519,,Stephens,25890
,,,,,,Madison,29302,,Taliaferro,1628
,,,,,,Morgan,18412,,TOTAL,179859
,,,,,,Oconee,39028,,,
,,,,,,Oglethorpe,38028,,,
,,,,,,Putnam,21730,,,
,,,,,,Stephens,25890,,,
,,,,,,Taliaferro,1628,,,
,,,,,,Walton,91600,,,
,,,,,,TOTAL,651461,,,