date,Baker,Calhoun,Colquitt,Decatur,Dougherty,Early,Grady,Lee,Miller,Mitchell,Seminole,Terrell,Thomas,Worth
3/14/20,,,,,,,,1,,,,,,
3/15/20,,,,,6,,,2,,,,,,
3/16/20,,,,,6,,,2,,,,,,
3/17/20,,,,,6,,,2,,,,,,
3/18/20,,,,,7,,,2,,,,,,
3/19/20,,,,,20,2,,3,,,,,,
3/20/20,,,,,44,2,,13,1,,,2,,2
3/21/20,,,,,47,2,,14,1,,,2,,2
3/22/20,,,,,52,2,,16,1,,,2,,2
3/23/20,,,,,69,2,,19,1,,,2,,3
3/24/20,3,,1,,101,5,,24,1,4,2,3,,4
3/25/20,3,,2,1,123,6,,25,2,4,2,4,1,3
3/26/20,1,1,4,2,164,7,,29,2,10,2,5,1,6
3/27/20,1,2,5,3,203,13,,37,3,14,2,6,3,7
3/28/20,1,3,5,4,224,16,,39,4,15,3,10,7,8
3/29/20,1,3,6,4,239,16,,43,4,15,3,10,7,10
3/30/20,1,6,7,6,278,20,,44,5,16,7,20,7,12
3/31/20,4,9,20,8,466,32,1,90,4,34,6,40,10,28
4/1/20,4,10,21,8,490,34,2,94,4,39,5,46,14,28
4/2/20,4,10,28,10,521,42,2,104,4,40,6,47,17,28
4/3/20,4,11,44,16,607,61,3,123,11,46,8,50,26,33
4/4/20,5,15,49,16,685,64,3,134,10,53,8,57,26,36
4/5/20,5,17,51,17,688,70,3,138,14,56,9,58,28,37
4/6/20,5,20,61,13,722,81,4,148,15,59,9,66,28,39
4/7/20,9,28,69,17,939,92,5,195,11,90,12,87,37,55
4/8/20,10,31,70,21,973,96,6,204,11,100,13,92,42,60
4/9/20,9,35,79,22,1001,97,8,210,9,113,13,95,56,65
4/10/20,11,37,79,25,1042,105,13,217,9,118,13,98,72,70
4/11/20,11,39,80,27,1072,107,15,230,10,135,14,103,74,78
4/12/20,13,41,84,28,1102,120,15,236,10,136,14,106,76,80
4/13/20,14,45,87,29,1175,125,15,244,11,138,15,109,77,87
4/14/20,16,53,88,39,1245,128,18,255,13,150,16,118,78,96